https://hirr.hartfordinternational.edu/research/mosque-database/masjids-mosques-and-islamic-centers-by-state/?_sfm_state_mmic=IL&sf_paged=5,,,,
Mosque Name,Address,City,State,Zip
Al Hira Community Center,140 Commercial St.,Wood Dale,IL,60191
Al-Aqsa Islamic Community Center,17940 Bronk Rd.,Plainfield,IL,50586
Al-Azhar Islamic Foundation,160 Hawthorne Rd.,Barrington,IL,60010
Al-Farooq Mosque,8950 S. Stony Island,Chicago,IL,60649
Al-Jameel Masjid,4 N 251 North Swift Rd.,Addison,IL,60101
Al-Madina Islamic Center,2 N 579 Morton Rd.,West Chicago,IL,60185
Al-Madinah Islamic Center,1701 W. Wallen Ave. Basement,Chicago,IL,60626
Al-Masjidul-Huq,1620 S. Highland Ave.,Lombard,IL,60148
Al-Mustafa Islamic Center,5736 N. Western Ave.,Chicago,IL,60659
Albanian American Islamic Center,5825 W. St. Charles Rd.,Hillsdale,IL,60163
American Islamic Association,8860 W. St. Francis Rd.,Frankfort,IL,60423
American Muslim Community Organization,1548 E Algonquin Rd. No.511,Algonquin,IL,60102
Bait Ul Ilm Islamic Center,485 S. Bartlett Rd.,Streamwood,IL,60107
Batavia Islamic Center,222 S. Batavia Ave.,Batavia,IL,60510
Bosnian Islamic Cultural Center,7022 N. Western Ave.,Chicago,IL,60645
Bosnian Masjid,4731 N. Lawndale Ave.,Chicago,IL,60625
Central Illinois Mosque And Islamic Center,106 S. Lincoln Ave.,Urbana,IL,61801
Dar-Us-Sunnah Masjid and Comm Center,2045 Brown Ave.,Evanston,IL,60201
Darus Salam,21 W 525 North Ave,Lombard,IL,60148
Downtown Islamic Center,231 S. State St. 4Th Fl.,Chicago,IL,60604
Fox Vally Muslim Community Center,1187 Timberlake Dr.,Aurora,IL,60506
Harvey Islamic Center,163 E. 154th St.,Harvey,IL,60426
Icna-Chicago,6224 N. California Ave.,Chicago,IL,60659
Insitutue of Islamic Education,1048 Bluff City Blvd,Elgin,IL,60120
Islamic Center of Bloomington-Normal,2911 Gill St. Suite 6,Bloomington,IL,61704
Islamic Center of Carbondale,511 S. Popular,Carbondale,IL,62901
Islamic Center of Chicago,5933 N. Lincoln Ave.,Chicago,IL,60659
Islamic Center of Greater Centralia,224 S. Broadway,Centralia,IL,62801
Islamic Center of Macomb,601 Wigwam Hollow,Macomb,IL,61455
Islamic Center of Mchenry County,5800 E. Crystal Lake Ave.,Crystal Lake,IL,60014
Islamic Center of Naperville-Al-Hidayah,450 S Olson Dr,Naperville,IL,60566
Islamic Center of Naperville-Al-Hilal,2844 W. Ogden Ave.,Naperville,IL,60540
Islamic Center of Peoria,1716 N. North St.,Peoria,IL,61605
Islamic Center of Western Suburbs,28W774 Army Trail Rd.,West Chicago,IL,60185
Islamic Community Center,345 Heine St.,Elgin,IL,60123
Islamic Community Center of Des Plains,480 Potter Rd,Des Plains,IL,60016
Islamic Community Center of Illinois,6435 W. Belmont Ave.,Chicago,IL,60634
Islamic Cultural Center of Greater Chicago,1810 N Pfingsten Rd,Northbrook,IL,60062
Islamic Education Center,1269 Goodrich Ave.,Glendale Heights,IL,60139
Islamic Foundation,300 W. Highridge,Villa Park,IL,60181
Islamic Foundation North,1751 N. O Plaine Rd.,Libertyville,IL,60048
Islamic Foundation of Southwest Suburbs,16122 R. 59 Suite 108,Plainfield,IL,60586
Islamic Information Center of America,830 E. Old Willow Rd.,Prospect Heights,IL,60070
Islamic Organization of North America,561 Lancaster Cr,Elgin,IL,60123
Islamic Society of Greater Springfield,3000 Stanton St.,Springfield,IL,62703
Islamic Society of Northern Illinois Univ.,721 Normal Rd,Dekalb,IL,60115
Islamic Society of Northwest Suburbs,3890 Industrial Ave,Rolling Meadows,IL,60008
Islamic Student Society,1315 W. Main St.,Peoria,IL,61604
Jamia Masjid,6340 N. Campbell Ave.,Chicago,IL,60659
Lake Cook Weiland Comm Ctr For Spiritual Healing,20515 N. Horatio Blvd,Lincolnshire,IL,60069
,,,,
Lake Shore Muslim Community Center,7324 N. Western Ave.,Chicago,IL,60645
Light of Islam (Masjid Nur-Ul-Islam),46 E. Sibley Blvd,Harvey,IL,60426
Makki Masjid,3418 W. Ainslie St.,Chicago,IL,60625
Masjid Al Faatir,1200 E. 47th St,Chicago,IL,60615
Masjid Al-Ansar,2506 W. 63Rd St.,Chicago,IL,60629
Masjid Al-Ghuraba,21-A Kettle River Rd.,Edwardsville,IL,62034
Masjid Al-Hafeez,461 E. 83Rd St.,Chicago,IL,60613
Masjid Al-Huda,1081 W. Irving Park Rd.,Schaumburg,IL,60193
Masjid Al-Ihsan,6005 34th Ave.,Moline,IL,61265
Masjid Al-Ihsan,227 E. 51St St.,Chicago,IL,60615
Masjid Al-Islam,56 E. North Frontage Rd,Bolingbrook,IL,60440
Masjid Al-Latif,1747 W. 51St St.,Chicago,IL,60609
Masjid Al-Muhajireen,3777 W. Columbus Ave.,Chicago,IL,60652
Masjid Al-Qassam,3357 W. 63Rd St.,Chicago,IL,60629
Masjid Al-Salam,3247 W. 63Rd St.,Chicago,IL,60629
Masjid Al-Salam,4819 S. Ashland Ave.,Chicago,IL,60609
Masjid Al-Taqwa,3065 E. 93Rd St.,Chicago,IL,60617
Masjid Al-Taqwa,5101 N. Sheridan Rd.,Chicago,IL,60640
Masjid An-Nur,504 S. Wall,Carbondale,IL,62901
Masjid As-Salaam,823 W. Salaam Dr.,Peoria,IL,61615
Masjid At-Tawheed Chicago,8726 S. Halsted St.,Chicago,IL,60620
Masjid Darussalam,21W525 North Ave.,Lombard,IL,60148
Masjid Dawah,210 N. Homan Ave.,Chicago,IL,60624
Masjid E Faizan E Madeena,6305 N. Ridge Blvd,Chicago,IL,60626
Masjid Hameedia,1456 W. Elmdale Ave.,Chicago,IL,60660
Masjid Ibrahim,2407 E. Washington St.,Bloomington,IL,61704
Masjid Muminun,3003 W. Harrison,Chicago,IL,60612
Masjid Noor,6151 N. Greenview,Chicago,IL,60660
Masjid Sahwa,4913 N. Whipple,Chicago,IL,60625
Masjid Umar,11405 S. Michigan Ave,Chicago,IL,60628
Masjid Wali Hasan,1635 Huston Dr.,Decatur,IL,62526
Masjid-E–Abu Bakar (Roscoe Masjid),1015 W. Roscoe St.,Chicago,IL,60657
Masjid-E-Ayesha,2409-B W. Devon Ave,Chicago,IL,60659
Masjid-E-Rahmat,6412 N. Talman Ave.,Chicago,IL,60645
Masjid-E-Syed Hashim,7419 N. Western Ave.,Chicago,IL,60645
Masom Community Center,6111 W. Addison St.,Chicago,IL,60634
Mecca,720 E. Plainfield Rd.,Willowsbrook,IL,60527
Midwest Masoom Assocation,4353 W. Laurence Ave.,Chicago,IL,60660
Mosque And Islamic Education Center,4525 Old Collinsville Rd.,Belleville,IL,62226
Mosque Foundation of Chicago,7360 W. 93Rd St.,Bridgeview,IL,60455
Muslim Assoc. of Greater Peoria,25172 N. Spring Creek Rd.,Peoria,IL,61671
Muslim Community Center,4380 N. Elston Ave,Chicago,IL,60641
Muslim Community Center of Rockford,5921 Darlene Dr.,Rockford,IL,61109
Muslim Education & Community Asst,817 W. Armstrong,Peoria,IL,61606
Muslim Education Center,8601 Menard Ave.,Morton Grove,IL,60053
Muslim House,8008 S. Cottage Grove Ave.,Chicago,IL,60619
Muslim Society,1785 Bloomingdale Rd,Glendale Hights,IL,60139
Muslim Student Association House,1315 W. Main St.,Peoria,IL,61606
Nigerian Islamic Assoc.,932 W. Sheridian Rd,Chicago,IL,60613
South Suburban Islamic Center,15200 S. Broadway,Harvey,IL,60426
,,,,
Sri Lanka Jummah Masjid,6412 N. Hamilton Ave.,Chicago,IL,60645
Tafweedul Quran,6355 N. Claremont Ave. @B1,Chicago,IL,60659
Taqwa Islamic Center,1550 W. 88Th St.,Chicago,IL,60620
The Ephraim Bahar Cultural Center,2525 W. 71St St.,Chicago,IL,60629
The Prayer Center of Orland Park,16530 S. 104th Ave.,Orland Park,IL,60467
Turkish American Cultural Alliance,3745 N. Harlem Ave,Chicago,IL,60634
United Muslims of America,26 W 251 Widgear Lane,Bartlett,IL,60133
Western Bosnian Islamic Community Center,2944 N. Narragansett Ave.,Chicago,IL,60634
